사고년도,다발시군구,지점명,사고일시,사고시간대,사고등급,가해자성별,가해자연령,가해차종,가해자신체상해정도,피해자성별,피해자연령,피해차종,피해자신체상해정도,사고유형,가해자법규위반,기상상태,사망자수,부상자수
2015,서울특별시 종로구1,서울특별시 종로구 청운동(자하문사거리 부근),2015-07-04,10시경,중상사고,남,24세,승용차,상해없음,남,30세,자전거,중상,차대차 - 측면직각충돌,안전거리미확보,맑음,0,1
2015,서울특별시 종로구1,서울특별시 종로구 청운동(자하문사거리 부근),2015-05-31,12시경,경상사고,남,67세,승용차,상해없음,남,42세,자전거,경상,차대차 - 측면직각충돌,기타,맑음,0,1
2015,서울특별시 종로구1,서울특별시 종로구 청운동(자하문사거리 부근),2015-01-30,13시경,중상사고,남,58세,승합차,상해없음,여,36세,자전거,중상,차대차 - 측면직각충돌,안전운전불이행,맑음,0,1
2015,서울특별시 종로구1,서울특별시 종로구 청운동(자하문사거리 부근),2015-03-08,14시경,부상신고사고,남,12세,자전거,부상신고,남,28세,승용차,상해없음,차대차 - 추돌 - 진행중,안전운전불이행,맑음,0,1
2015,서울특별시 종로구1,서울특별시 종로구 청운동(자하문사거리 부근),2015-06-04,23시경,경상사고,여,38세,자전거,경상,여,43세,승용차,상해없음,차대차 - 측면직각충돌,교차로운행방법위반,맑음,0,1
2015,서울특별시 종로구2,서울특별시 종로구 종로3가(종로3가 부근),2015-03-30,15시경,경상사고,기타불명,불명,승용차,기타불명,남,24세,자전거,경상,차대차 - 기타,기타,맑음,0,1
2015,서울특별시 종로구2,서울특별시 종로구 종로3가(종로3가 부근),2015-04-09,08시경,부상신고사고,남,63세,승용차,기타불명,남,29세,자전거,부상신고,차대차 - 측면직각충돌,안전운전불이행,맑음,0,1
2015,서울특별시 종로구2,서울특별시 종로구 종로3가(종로3가 부근),2015-04-29,12시경,부상신고사고,남,53세,자전거,부상신고,여,68세,승용차,상해없음,차대차 - 측면직각충돌,기타,비,0,1
2015,서울특별시 종로구2,서울특별시 종로구 종로3가(종로3가 부근),2015-04-04,13시경,중상사고,남,59세,자전거,중상,남,54세,승합차,상해없음,차대차 - 측면직각충돌,안전운전불이행,맑음,0,1
2015,서울특별시 중구1,서울특별시 중구 을지로6가(오간수교(북단) 부근),2015-04-09,14시경,중상사고,남,33세,승용차,상해없음,남,69세,자전거,중상,차대차 - 측면직각충돌,안전운전불이행,맑음,0,1
2015,서울특별시 중구1,서울특별시 중구 을지로6가(오간수교(북단) 부근),2015-11-04,19시경,부상신고사고,남,60세,승용차,상해없음,여,20세,자전거,부상신고,차대차 - 기타,기타,맑음,0,1
2015,서울특별시 중구1,서울특별시 중구 을지로6가(오간수교(북단) 부근),2015-08-04,17시경,경상사고,남,37세,원동기장치자전거,상해없음,남,21세,자전거,경상,차대차 - 측면직각충돌,안전운전불이행,맑음,0,1
2015,서울특별시 중구1,서울특별시 중구 을지로6가(오간수교(북단) 부근),2015-09-02,18시경,경상사고,남,42세,이륜차,상해없음,남,74세,자전거,경상,차대차 - 기타,안전운전불이행,맑음,0,1
2015,서울특별시 중구1,서울특별시 중구 을지로6가(오간수교(북단) 부근),2015-08-24,11시경,경상사고,남,51세,자전거,경상,남,46세,화물차,상해없음,차대차 - 측면직각충돌,안전운전불이행,맑음,0,1
2015,서울특별시 중구1,서울특별시 중구 을지로6가(오간수교(북단) 부근),2015-03-25,14시경,부상신고사고,남,60세,자전거,부상신고,남,36세,승용차,상해없음,차대차 - 측면직각충돌,신호위반,맑음,0,1
